GoldPrice,OilPrice,Inflation,ExchangeUS
345.561,22.93,0.27,1.4286
339.053,15.46,-0.27,1.43
346.095,12.61,-0.46,1.4126
340.716,12.84,-0.18,1.3835
342.325,15.38,0.28,1.3751
342.798,13.43,0.55,1.4516
348.554,11.59,0,1.5896
376.29,15.1,0.18,1.6332
418.152,14.87,0.46,1.6075
423.863,14.9,0.09,1.5667
396.983,15.22,0.09,1.5516
391.595,16.11,0.09,1.5163
408.524,18.65,0.63,1.5131
401.045,17.75,0.36,1.4977
408.848,18.3,0.45,1.4554
439.665,18.68,0.54,1.4057
461.65,19.44,0.35,1.4002
449.282,20.07,0.35,1.393
450.33,21.34,0.26,1.4126
460.988,20.31,0.53,1.414
460.12,19.53,0.52,1.3759
465.764,19.86,0.26,1.4061
468.14,18.85,0.09,1.4577
487.079,17.28,0,1.4073
477.758,17.13,0.26,1.4063
442.124,16.8,0.26,1.4006
443.491,16.2,0.43,1.3644
451.558,17.86,0.52,1.3369
451.32,17.42,0.34,1.2863
451.657,16.53,0.43,1.2382
437.452,15.5,0.42,1.25
431.064,15.52,0.42,1.2412
413.439,14.54,0.67,1.2634
406.39,13.77,0.33,1.2352
419.966,14.14,0.08,1.1755
419.248,16.38,0.17,1.1665
404.445,18.02,0.5,1.1488
387.973,17.94,0.41,1.1677
390.274,19.48,0.58,1.2241
384.72,21.07,0.65,1.2446
371.35,20.12,0.57,1.2927
367.727,20.05,0.24,1.3226
375.21,19.78,0.24,1.3217
365.548,18.58,0.16,1.3098
361.798,19.59,0.32,1.2942
366.8,20.1,0.48,1.2917
394.361,19.86,0.24,1.2771
409.655,21.1,0.16,1.2724
410.118,22.86,1.03,1.2802
416.543,22.11,0.47,1.317
393.661,20.39,0.55,1.3235
374.929,18.43,0.16,1.3094
368.855,18.2,0.23,1.3139
352.657,16.7,0.54,1.2837
361.82,18.45,0.38,1.2645
394.861,27.31,0.92,1.2366
389.56,33.51,0.84,1.212
381.333,36.04,0.6,1.2491
381.866,32.33,0.22,1.2938
378.161,27.28,0,1.2984
384.591,25.23,0.6,1.2832
363.748,20.48,0.15,1.2763
363.39,19.9,0.15,1.2968
358.055,20.83,0.15,1.2829
357.117,21.23,0.3,1.2915
366.36,20.19,0.29,1.3161
368.013,21.4,0.15,1.296
356.721,21.69,0.29,1.2783
348.46,21.89,0.44,1.2599
358.826,104.67,0.15,1.2618
359.96,106.57,0.29,1.2713
361.875,106.29,0.07,1.2967
354.436,100.54,0.15,1.3376
353.853,93.86,0.36,1.3301
344.641,97.63,0.51,1.3182
338.728,94.62,0.14,1.3116
337.039,100.82,0.14,1.3229
340.784,100.8,0.36,1.3235
352.452,102.07,0.21,1.3421
343.603,102.18,0.28,1.3797
345.3,105.79,0.28,1.3841
344.277,103.59,0.35,1.399
